Index,Ir,Pd,Pt,Ru
1,87.43,1.48,3.83,7.27
2,86.93,1.38,3.88,7.81
3,85.66,1.31,4.12,8.91
4,82.83,1.86,5.27,10.05
5,82.13,1.54,5.48,10.86
6,80.35,1.79,6.1,11.77
7,78.72,1.62,7.07,12.59
8,77.07,1.4,7.41,14.12
9,74.29,1.11,9.03,15.56
10,71.73,0.7,10.33,17.24
11,68.03,1.21,12.17,18.6
12,88.51,1.85,3.54,6.09
13,86.32,2.2,4.21,7.26
14,84.61,2.21,4.68,8.5
15,83.87,2.11,4.97,9.06
16,82.53,1.74,5.74,9.99
17,81.49,1.59,6.42,10.5
18,79.95,1.66,7.14,11.26
19,78.04,1.2,7.84,12.93
20,74.98,1.96,8.67,14.39
21,72.55,1.99,9.5,15.95
22,70.63,1.66,10.72,16.99
23,67.6,1.64,12.18,18.58
24,63.88,1.05,14.5,20.56
25,88.09,1.81,4.07,6.04
26,87.47,1.9,4.48,6.15
27,86.19,1.99,4.69,7.14
28,84.94,1.53,5.52,8.01
29,83.5,1.9,6.06,8.53
30,80.9,2.3,6.58,10.22
31,79.68,1.64,7.79,10.89
32,78.5,1.77,7.81,11.92
33,76.6,1.75,8.68,12.97
34,74.88,1.75,9.43,13.94
35,71.55,2.21,10.98,15.26
36,69.31,1.52,12.29,16.89
37,66.63,1.67,13.3,18.41
38,62.2,1.44,16.1,20.25
39,60.19,1.16,17.12,21.53
40,89.3,2.11,3.76,4.83
41,87.01,2.6,4.17,6.22
42,86.08,2.34,4.91,6.68
43,85.29,2.18,5.32,7.2
44,83.67,1.96,6.02,8.35
45,82.65,2.24,6.43,8.67
46,79.87,2.31,7.78,10.04
47,78.42,2.24,8.64,10.71
48,76.54,2.11,9.08,12.26
49,75.01,2.18,9.81,12.99
50,73.0,2.31,10.89,13.8
51,70.96,2.47,11.58,14.99
52,68.61,2.1,12.83,16.46
53,65.74,2.0,14.55,17.71
54,62.59,1.59,16.24,19.58
55,58.17,1.82,18.03,21.98
56,54.82,1.67,20.63,22.88
57,88.86,2.74,4.09,4.3
58,88.02,2.49,4.38,5.11
59,85.93,2.58,5.14,6.35
60,85.71,2.55,5.64,6.1
61,84.05,2.32,6.21,7.42
62,82.23,2.53,7.04,8.2
63,80.56,2.63,7.61,9.21
64,79.75,2.53,8.31,9.41
65,77.73,2.33,8.99,10.95
66,75.78,2.41,10.35,11.47
67,73.63,2.62,10.91,12.84
68,72.04,2.3,11.89,13.77
69,70.67,2.08,12.86,14.39
70,67.87,1.43,14.33,16.37
71,64.4,1.99,15.9,17.71
72,60.57,1.9,17.87,19.65
