Index,Ir,Pd,Pt,Ru
1,54.64,12.6,7.36,25.39
2,53.44,11.75,7.47,27.34
3,50.17,11.41,7.94,30.48
4,48.34,10.28,8.75,32.63
5,46.76,9.59,8.76,34.88
6,44.23,9.0,9.69,37.07
7,41.98,8.11,9.8,40.1
8,39.72,8.01,10.08,42.19
9,37.1,7.54,10.76,44.6
10,35.03,7.12,11.26,46.59
11,32.04,6.21,11.82,49.93
12,55.09,14.33,7.69,22.89
13,53.12,13.85,7.79,25.24
14,50.81,13.22,8.73,27.24
15,48.92,12.36,9.13,29.6
16,46.6,11.64,9.65,32.12
17,44.46,10.91,9.82,34.81
18,42.12,10.22,10.36,37.3
19,40.23,9.35,11.16,39.25
20,37.13,8.96,11.35,42.56
21,35.83,8.02,12.25,43.9
22,34.24,8.03,12.24,45.49
23,31.4,7.36,12.82,48.42
24,29.33,6.91,13.23,50.53
25,55.22,17.03,7.67,20.08
26,53.03,15.86,8.59,22.52
27,50.75,15.55,8.85,24.85
28,48.67,14.48,9.46,27.39
29,46.69,13.69,10.29,29.34
30,44.82,12.82,10.58,31.77
31,42.94,11.94,11.33,33.78
32,40.88,11.16,11.71,36.25
33,38.87,10.8,11.97,38.36
34,37.01,9.97,12.66,40.37
35,35.37,8.94,13.1,42.59
36,32.89,8.15,13.71,45.24
37,29.89,7.57,14.09,48.44
38,28.41,6.85,14.65,50.09
39,25.67,6.07,15.42,52.84
40,53.98,18.93,8.44,18.65
41,51.78,19.2,8.83,20.19
42,50.23,17.87,9.45,22.46
43,48.66,16.89,9.94,24.51
44,46.11,16.31,10.9,26.68
45,44.87,15.29,11.15,28.69
46,43.06,14.28,11.28,31.38
47,40.84,13.5,12.41,33.25
48,39.11,11.86,13.14,35.89
49,37.95,11.28,13.37,37.4
50,35.37,10.68,13.97,39.98
51,33.61,9.74,14.64,42.01
52,31.09,9.35,15.2,44.36
53,28.9,8.75,15.43,46.91
54,27.05,7.17,16.32,49.46
55,25.02,6.89,16.46,51.64
56,22.51,6.22,17.37,53.9
57,54.1,21.83,8.12,15.95
58,52.34,21.63,8.82,17.21
59,50.25,20.49,9.7,19.56
60,48.71,19.41,10.15,21.74
61,45.99,19.14,10.95,23.92
62,45.01,17.77,11.37,25.85
63,43.05,16.58,12.15,28.21
64,41.48,15.54,12.63,30.35
65,39.64,14.15,13.42,32.8
66,37.93,13.5,14.08,34.49
67,36.07,12.59,14.71,36.63
68,34.35,11.39,15.12,39.13
69,32.1,10.6,16.08,41.22
70,29.98,10.27,16.57,43.18
71,28.48,8.38,17.14,46.0
72,25.87,8.41,17.87,47.85
73,23.79,7.38,17.96,50.87
74,21.55,6.66,19.18,52.61
75,18.95,5.75,19.56,55.73
76,50.32,24.6,9.27,15.81
77,49.12,23.29,9.95,17.64
78,47.4,22.51,10.55,19.54
79,45.81,21.51,11.24,21.44
80,44.77,19.67,12.21,23.35
81,42.38,19.7,12.67,25.25
82,40.73,18.89,13.44,26.95
83,39.11,16.91,14.16,29.81
84,37.87,15.94,14.59,31.59
85,36.39,14.53,15.43,33.66
86,34.35,13.09,16.21,36.35
87,32.93,12.29,16.55,38.23
88,31.11,11.42,17.17,40.3
89,29.01,10.53,18.05,42.41
90,27.01,10.19,18.45,44.35
91,24.74,9.23,19.1,46.93
92,23.16,7.49,19.95,49.4
93,20.6,7.71,20.5,51.19
94,17.88,6.91,21.35,53.87
95,48.9,28.56,8.98,13.56
96,47.94,26.8,9.79,15.46
97,46.67,25.5,10.65,17.18
98,45.96,23.91,11.41,18.73
99,43.92,23.44,12.22,20.42
100,41.98,22.46,12.69,22.86
101,40.75,20.89,13.53,24.83
102,39.39,19.22,14.65,26.74
103,37.68,18.78,15.11,28.43
104,36.31,17.61,15.96,30.11
105,34.43,16.23,16.59,32.75
106,33.5,14.67,17.02,34.8
107,30.87,14.04,18.24,36.85
108,29.84,12.3,19.25,38.61
109,27.41,11.59,19.62,41.38
110,25.03,10.94,20.41,43.63
111,24.06,9.51,20.91,45.52
112,22.03,8.21,21.83,47.93
113,19.7,7.13,22.5,50.66
114,17.51,6.91,23.06,52.52
115,16.09,6.55,23.48,53.89
116,47.04,30.0,9.86,13.1
117,45.94,28.88,10.64,14.54
118,43.82,27.82,11.51,16.85
119,42.49,26.97,12.32,18.22
120,41.71,25.3,13.34,19.65
121,40.22,24.24,13.94,21.6
122,38.33,22.74,14.8,24.13
123,37.39,21.36,15.75,25.5
124,36.06,20.09,16.41,27.44
125,34.19,18.8,17.4,29.61
126,33.02,16.96,17.97,32.05
127,31.82,16.16,18.53,33.49
128,30.08,14.45,19.56,35.92
129,28.74,13.7,20.24,37.32
130,27.05,12.11,20.58,40.25
