Index,Cu,Pd,Pt,Ru
1,11.32,18.61,56.17,13.9
2,11.15,17.13,58.1,13.62
3,9.33,16.4,59.63,14.64
4,8.13,14.27,62.67,14.93
5,8.91,11.47,62.75,16.86
6,8.09,10.89,64.0,17.02
7,6.6,10.63,63.85,18.92
8,6.59,8.29,67.4,17.72
9,4.81,8.26,67.52,19.41
10,5.47,7.69,67.09,19.75
11,3.68,7.43,68.51,20.38
12,11.15,21.56,55.94,11.35
13,10.51,19.12,58.56,11.81
14,10.18,18.39,58.75,12.68
15,8.56,15.72,61.48,14.24
16,7.82,16.34,60.65,15.18
17,7.83,13.97,63.12,15.08
18,7.36,11.1,64.92,16.62
19,6.42,11.33,66.02,16.23
20,6.1,9.94,67.79,16.18
21,5.46,9.17,67.7,17.67
22,4.97,7.32,69.87,17.85
23,4.24,7.26,69.27,19.23
24,4.63,6.11,69.53,19.73
25,10.96,23.9,55.68,9.46
26,10.48,22.49,56.63,10.39
27,9.26,20.68,59.3,10.76
28,9.53,18.75,60.19,11.54
29,7.68,17.48,62.12,12.72
30,7.36,15.33,64.08,13.23
31,7.01,12.46,66.97,13.56
32,5.8,12.5,66.97,14.73
33,5.53,11.07,68.51,14.89
34,5.18,10.01,69.23,15.59
35,4.6,8.58,71.12,15.69
36,4.68,8.3,70.04,16.98
37,3.65,7.87,70.83,17.65
38,3.02,7.64,71.74,17.61
39,3.46,4.92,72.22,19.4
40,11.27,25.98,54.15,8.6
41,9.96,24.27,57.51,8.27
42,8.61,22.62,59.26,9.51
43,8.24,20.79,61.2,9.77
44,8.54,18.69,61.55,11.21
45,7.52,17.9,63.23,11.35
46,6.57,15.46,65.78,12.2
47,6.62,12.96,65.84,14.58
48,5.63,13.2,68.66,12.51
49,4.66,12.27,68.53,14.55
50,4.13,10.81,70.38,14.69
51,3.65,8.58,72.81,14.96
52,4.42,8.56,71.42,15.6
53,3.11,7.58,73.62,15.69
54,2.71,7.46,73.1,16.72
55,3.57,6.0,73.45,16.97
56,2.62,4.88,74.78,17.72
57,9.55,30.91,52.17,7.37
58,9.22,28.43,55.33,7.02
59,8.37,24.7,59.27,7.66
60,7.84,23.09,59.76,9.31
61,6.14,21.61,62.34,9.91
62,6.74,20.0,63.7,9.56
