Index,Cu,Pd,Pt,Ru
1,86.01,5.62,2.1,6.27
2,84.76,5.64,2.36,7.24
3,83.8,5.39,2.62,8.19
4,82.77,5.38,2.75,9.09
5,81.05,5.22,3.35,10.38
6,79.73,5.13,3.46,11.68
7,78.24,5.08,3.8,12.88
8,76.38,4.88,4.38,14.36
9,74.77,4.64,4.47,16.11
10,72.52,4.76,5.12,17.61
11,69.64,4.57,5.66,20.13
12,85.47,6.85,2.17,5.52
13,84.56,6.56,2.32,6.56
14,83.39,6.71,2.64,7.26
15,82.79,6.22,2.85,8.13
16,81.52,5.87,3.21,9.4
17,80.01,6.14,3.53,10.32
18,78.5,5.71,4.1,11.69
19,77.21,5.55,4.4,12.84
20,75.47,5.28,4.68,14.57
21,73.62,4.96,5.29,16.14
22,70.53,4.91,6.03,18.53
23,68.35,4.98,6.51,20.16
24,65.39,4.67,7.16,22.78
25,85.1,7.95,2.16,4.79
26,84.14,7.6,2.5,5.76
27,83.28,7.49,2.59,6.65
28,82.27,7.31,2.97,7.45
29,81.27,7.33,3.31,8.09
30,79.82,6.79,3.66,9.73
31,78.46,6.78,4.13,10.63
32,77.38,6.33,4.61,11.68
33,75.91,6.37,5.01,12.71
34,73.87,6.16,5.51,14.46
35,71.66,5.72,6.2,16.42
36,69.6,5.6,6.66,18.14
37,66.67,5.63,7.57,20.13
38,63.62,6.02,8.01,22.36
39,60.72,5.47,8.9,24.91
40,84.31,9.13,2.13,4.43
41,84.22,8.67,2.31,4.8
42,82.4,9.18,2.74,5.68
43,81.6,8.57,3.13,6.7
44,80.51,8.32,3.45,7.72
45,79.38,8.24,3.71,8.67
46,78.01,8.07,4.36,9.56
47,77.09,7.66,4.64,10.61
48,75.79,6.99,5.27,11.95
49,73.85,7.26,5.61,13.28
50,71.96,7.28,6.45,14.31
51,69.72,6.72,7.14,16.42
52,67.01,7.14,7.82,18.03
53,65.35,5.9,8.34,20.4
54,62.46,6.26,9.17,22.11
55,58.83,6.04,9.95,25.18
56,55.47,6.18,10.93,27.42
57,83.69,10.4,2.27,3.63
58,82.7,10.42,2.53,4.35
59,82.1,10.11,2.81,4.97
60,80.96,10.0,3.05,5.99
61,79.83,9.78,3.59,6.8
62,79.12,9.41,3.97,7.5
63,77.9,9.15,4.51,8.45
64,76.16,9.11,4.95,9.78
65,75.09,8.65,5.46,10.8
66,73.52,8.73,5.99,11.76
67,71.74,8.1,6.83,13.34
68,70.14,7.86,7.14,14.87
69,68.1,7.62,8.0,16.28
70,65.59,6.97,8.85,18.59
71,62.59,6.76,9.55,21.09
72,59.68,7.01,10.39,22.92
73,56.54,7.06,11.21,25.18
74,54.24,5.93,12.21,27.62
75,50.62,5.69,13.26,30.43
76,81.4,12.11,2.59,3.91
77,80.7,11.94,2.99,4.38
78,80.02,11.5,3.26,5.21
79,79.0,11.42,3.76,5.81
80,78.08,10.94,4.15,6.83
81,76.77,10.87,4.47,7.89
82,75.75,10.65,5.12,8.48
83,74.81,9.69,5.4,10.1
84,73.09,9.7,6.14,11.06
85,71.6,9.27,6.62,12.51
86,70.01,9.04,7.39,13.56
87,68.05,9.13,8.12,14.7
88,66.08,8.31,8.7,16.92
89,63.6,7.8,9.76,18.84
90,61.38,7.31,10.57,20.74
91,57.48,7.87,11.75,22.91
92,54.62,6.92,12.79,25.67
93,51.56,7.04,13.5,27.9
94,48.35,6.68,14.56,30.41
95,79.97,14.12,2.65,3.26
96,79.56,13.58,2.82,4.04
97,78.76,13.35,3.23,4.66
98,77.88,13.06,3.82,5.24
99,77.24,12.8,4.24,5.73
100,76.23,12.52,4.54,6.72
101,75.32,11.8,5.12,7.76
102,73.46,12.26,5.59,8.7
103,73.0,11.14,6.38,9.48
104,71.13,11.25,6.68,10.95
105,69.65,10.76,7.6,12.0
106,67.6,10.26,8.48,13.65
107,65.79,10.06,9.27,14.88
108,63.92,9.33,9.85,16.91
109,61.32,9.01,11.12,18.55
110,58.64,8.8,11.76,20.8
111,55.39,8.56,13.24,22.81
112,52.02,8.16,14.26,25.56
113,49.35,7.65,15.43,27.58
114,45.92,7.75,16.37,29.95
115,,,,
116,77.89,15.58,2.95,3.58
117,77.9,14.86,3.23,4.01
118,76.59,14.9,3.78,4.73
119,75.92,14.51,4.37,5.2
120,75.5,14.06,4.7,5.75
121,73.93,14.07,5.21,6.79
122,72.52,13.75,5.83,7.9
123,72.03,13.11,6.33,8.53
124,70.03,12.65,7.08,10.25
125,68.97,12.27,7.81,10.95
126,67.03,11.66,8.7,12.61
127,65.36,11.2,9.48,13.96
128,63.65,11.31,10.09,14.94
129,61.18,10.68,11.1,17.03
130,58.76,10.51,11.93,18.8
131,56.13,9.45,13.34,21.08
132,53.82,9.0,14.5,22.68
133,49.46,9.04,15.77,25.72
134,47.45,7.75,17.44,27.36
135,44.13,7.5,18.47,29.9
136,41.89,7.2,19.16,31.75
137,75.37,17.66,3.39,3.58
