Index,Cu,Pd,Pt,Ru
1,8.21,75.38,6.87,9.54
2,8.59,72.95,8.3,10.16
3,8.81,71.12,8.92,11.14
4,8.83,68.57,9.8,12.81
5,7.92,66.74,10.94,14.4
6,8.75,63.06,12.31,15.88
7,6.97,62.44,12.56,18.03
8,7.78,60.16,13.59,18.47
9,6.95,56.61,14.74,21.7
10,5.65,55.11,15.88,23.36
11,5.25,52.87,17.41,24.47
12,8.06,78.49,6.37,7.07
13,7.99,76.44,7.43,8.15
14,7.49,74.59,8.22,9.69
15,6.14,73.98,8.87,11.01
16,8.17,70.24,9.83,11.76
17,7.51,68.79,10.69,13.01
18,7.51,65.79,12.49,14.21
19,7.45,63.68,13.21,15.65
20,6.11,61.98,14.75,17.17
21,6.43,57.6,15.45,20.52
22,7.09,55.35,16.44,21.12
23,6.36,52.17,18.06,23.41
24,7.76,49.22,18.63,24.38
25,6.25,82.28,6.32,5.15
26,6.74,80.5,6.68,6.09
27,6.54,78.66,7.02,7.77
28,6.53,76.3,8.34,8.83
29,5.49,74.65,9.74,10.11
30,6.36,73.41,10.19,10.04
31,6.92,69.99,11.1,11.99
32,5.88,68.39,12.82,12.91
33,6.24,65.5,13.58,14.68
34,6.33,62.85,15.26,15.56
35,6.28,60.11,15.85,17.77
36,5.86,57.21,17.58,19.34
37,5.93,52.78,18.43,22.85
38,4.6,50.91,20.92,23.57
39,4.57,47.18,21.61,26.64
40,6.88,83.94,4.81,4.37
41,6.47,82.74,6.14,4.66
42,6.8,81.47,6.52,5.21
43,6.21,79.85,7.55,6.39
44,5.37,79.52,8.27,6.85
45,5.32,76.81,9.51,8.37
46,6.61,73.68,10.15,9.55
47,5.99,72.21,11.42,10.38
48,5.26,68.68,13.3,12.76
49,5.51,65.96,14.18,14.34
50,4.65,65.53,15.0,14.82
51,4.26,61.57,17.52,16.65
52,5.03,59.64,18.24,17.09
53,4.9,55.01,20.62,19.48
54,5.2,51.8,21.19,21.81
55,4.17,48.86,23.15,23.82
56,3.41,46.98,24.5,25.12
57,5.88,86.93,4.32,2.87
58,5.76,85.8,5.09,3.36
59,5.8,83.27,6.04,4.89
60,5.82,82.5,6.46,5.23
61,5.31,81.31,7.66,5.72
62,5.19,79.35,8.51,6.96
63,5.04,76.94,9.7,8.31
64,4.39,76.02,10.64,8.95
65,5.49,73.44,11.53,9.54
66,4.53,71.85,12.92,10.69
67,4.23,69.34,14.7,11.73
68,4.11,66.25,15.89,13.75
69,3.95,62.29,18.04,15.72
70,3.9,59.33,19.62,17.14
71,4.22,56.44,20.6,18.74
72,4.5,53.32,21.93,20.25
73,2.36,50.75,24.38,22.51
74,2.93,46.09,26.12,24.86
75,3.66,43.14,26.07,27.13
76,5.0,87.71,4.58,2.71
77,4.27,86.8,5.26,3.67
78,4.52,85.23,5.77,4.48
79,5.32,83.21,6.42,5.05
80,4.38,82.7,7.67,5.25
81,4.54,80.91,8.47,6.08
82,4.47,79.33,9.39,6.81
83,4.32,77.01,10.85,7.82
84,4.63,74.63,11.8,8.94
85,4.53,72.29,13.29,9.88
86,4.22,69.33,14.46,12.0
87,4.28,67.21,16.43,12.08
88,4.29,65.08,17.85,12.78
89,4.21,61.98,18.76,15.05
90,5.26,56.81,20.94,17.0
91,2.69,55.07,23.29,18.94
92,2.67,50.75,24.68,21.9
93,2.2,48.38,26.33,23.09
94,4.11,44.68,26.81,24.4
95,4.27,88.94,4.27,2.52
96,3.83,89.03,4.71,2.43
97,4.18,87.25,5.36,3.21
98,4.96,85.21,5.81,4.03
99,4.02,84.98,6.97,4.02
100,4.53,82.99,7.59,4.89
101,4.16,81.74,8.67,5.43
102,3.91,79.98,9.72,6.39
103,3.88,77.99,10.56,7.57
104,4.32,76.3,12.11,7.27
105,4.31,72.87,13.46,9.36
106,3.64,71.62,14.92,9.81
107,3.16,69.13,16.38,11.32
108,3.82,64.88,17.94,13.35
109,3.67,62.19,20.16,13.98
110,2.12,59.14,22.08,16.67
111,2.9,55.85,23.01,18.24
112,3.47,51.89,25.42,19.22
113,2.95,49.17,27.36,20.52
114,2.42,45.7,29.3,22.58
115,,,,
116,3.65,90.14,4.07,2.14
117,3.64,88.95,4.83,2.59
118,3.81,88.24,5.37,2.58
119,3.96,86.51,6.15,3.38
120,3.32,86.09,6.93,3.65
121,3.54,84.62,7.63,4.21
122,3.78,82.2,8.88,5.14
123,3.92,80.95,9.66,5.46
124,3.55,79.05,10.56,6.84
125,3.73,77.43,11.74,7.1
126,3.65,75.23,13.32,7.79
127,3.72,73.2,14.49,8.6
128,3.48,70.28,16.25,9.98
129,2.47,67.84,17.48,12.22
130,2.74,64.72,19.94,12.6
131,2.7,60.71,22.06,14.52
132,2.68,56.2,24.09,17.04
133,2.26,53.88,25.32,18.55
134,3.24,48.77,28.64,19.35
135,2.37,46.69,29.71,21.22
136,3.07,42.18,32.4,22.35
137,3.24,90.16,4.26,2.34
138,3.27,89.87,4.77,2.09
139,3.51,88.36,5.43,2.71
140,3.0,87.32,6.32,3.36
141,2.91,86.52,7.08,3.49
142,2.74,84.96,7.91,4.39
143,3.46,82.87,8.91,4.77
144,3.05,82.1,9.71,5.14
145,2.98,80.09,10.85,6.08
146,3.29,78.02,12.23,6.46
147,2.72,76.21,13.25,7.81
148,3.12,73.89,14.72,8.28
149,3.26,71.14,16.68,8.93
150,2.74,67.9,18.88,10.48
151,2.95,64.85,20.07,12.13
152,2.74,61.42,22.92,12.91
153,2.42,57.69,24.75,15.13
154,2.22,54.34,26.99,16.45
155,2.24,51.01,28.92,17.82
156,0.0,49.33,31.56,19.11
157,0.0,44.46,34.05,21.5
158,2.72,91.22,4.36,1.7
159,3.02,90.15,4.62,2.2
160,2.87,89.13,5.64,2.37
161,3.02,87.69,6.39,2.9
162,3.07,86.83,7.07,3.03
163,2.66,85.95,7.86,3.52
164,3.24,83.85,8.91,4.0
165,2.52,82.52,9.84,5.12
166,2.68,81.1,11.0,5.22
167,3.04,78.91,12.05,6.0
168,2.76,77.04,13.67,6.54
169,3.37,73.93,14.92,7.78
170,2.78,71.98,16.41,8.83
171,2.39,69.56,18.14,9.91
172,2.06,66.04,20.6,11.3
173,2.36,62.35,23.26,12.03
174,3.16,58.81,25.06,12.96
175,1.99,56.07,27.81,14.13
176,1.8,52.05,30.17,15.98
177,2.4,48.63,31.85,17.12
178,2.29,44.02,33.84,19.85
179,2.39,91.44,4.3,1.88
180,2.69,90.57,4.89,1.85
181,2.6,89.75,5.69,1.96
182,2.46,89.05,6.3,2.19
183,2.5,87.67,7.12,2.71
184,2.64,85.61,8.12,3.63
185,2.23,84.98,8.9,3.88
186,1.79,84.1,9.93,4.19
187,2.15,82.46,11.05,4.34
188,2.77,79.7,12.18,5.35
189,2.06,78.48,13.46,5.99
190,2.56,75.57,15.14,6.72
191,2.43,73.04,16.79,7.75
192,1.32,70.58,18.62,9.47
193,2.27,67.4,20.75,9.57
194,1.85,64.18,23.13,10.84
195,1.94,59.16,25.5,13.39
196,2.97,55.59,27.8,13.64
197,1.83,50.97,30.69,16.51
198,2.44,48.5,33.07,15.98
199,0.0,46.4,35.24,18.36
200,2.25,91.78,4.31,1.66
201,1.67,91.13,5.09,2.11
202,2.65,89.52,5.72,2.1
203,2.14,89.14,6.5,2.22
204,1.73,88.07,7.32,2.88
205,2.6,86.53,8.01,2.87
206,2.52,85.29,9.09,3.1
207,2.03,83.92,9.83,4.22
208,1.91,82.75,11.12,4.22
209,1.86,80.95,12.37,4.82
210,1.38,78.89,13.65,6.07
211,2.38,76.4,15.55,5.67
212,1.42,74.1,17.45,7.02
