Index,Cu,Pd,Pt,Ru
1,55.91,12.22,8.82,23.05
2,53.45,11.5,9.43,25.62
3,50.76,11.06,9.66,28.52
4,48.65,10.43,10.55,30.36
5,45.96,9.33,11.24,33.48
6,42.7,9.07,11.79,36.43
7,41.0,7.88,12.45,38.68
8,37.87,8.19,13.01,40.94
9,34.92,7.29,13.48,44.3
10,32.77,6.76,13.88,46.59
11,29.43,6.2,14.63,49.73
12,55.49,14.66,9.23,20.62
13,53.09,13.49,9.64,23.78
14,50.52,12.75,10.52,26.22
15,48.99,11.99,10.9,28.12
16,46.28,11.54,11.63,30.55
17,43.91,10.68,12.16,33.26
18,41.54,10.28,12.87,35.32
19,38.42,9.17,13.77,38.64
20,36.48,8.25,14.19,41.09
21,33.14,7.92,15.06,43.88
22,30.83,7.7,15.6,45.87
23,28.2,6.85,15.91,49.04
24,25.39,6.39,16.63,51.59
25,54.69,17.64,9.17,18.49
26,53.0,16.14,9.94,20.92
27,50.34,15.7,10.49,23.47
28,49.24,14.09,11.66,25.01
29,46.74,13.46,12.22,27.58
30,43.54,12.86,13.05,30.55
31,41.74,11.78,13.66,32.82
32,39.27,11.14,14.28,35.31
33,36.92,10.43,15.22,37.43
34,34.02,9.04,15.87,41.07
35,31.88,8.82,16.54,42.76
36,28.87,8.31,17.16,45.66
37,26.78,7.28,17.68,48.26
38,23.39,6.98,18.33,51.29
39,21.7,6.72,18.62,52.97
40,54.57,19.47,9.39,16.58
41,52.35,19.31,10.09,18.25
42,50.35,17.78,11.19,20.68
43,48.25,17.44,11.71,22.6
44,46.38,16.03,12.49,25.1
45,43.87,14.98,13.52,27.63
46,41.92,13.68,14.29,30.1
47,39.88,13.28,15.1,31.74
48,36.95,12.52,15.91,34.63
49,35.04,11.22,16.59,37.15
50,32.29,11.04,17.15,39.52
51,29.39,9.89,18.1,42.62
52,27.8,8.86,18.78,44.55
53,24.42,8.04,19.75,47.79
54,22.04,7.89,20.12,49.96
55,19.44,6.59,20.94,53.02
56,17.72,6.69,21.09,54.5
57,53.41,22.8,9.57,14.22
58,51.25,22.3,10.24,16.21
59,49.5,21.24,11.35,17.91
60,47.3,20.33,12.24,20.13
61,45.77,18.71,13.06,22.47
62,43.81,18.0,13.72,24.47
63,41.57,16.65,14.63,27.15
64,39.73,15.42,15.79,29.06
65,37.17,14.74,16.33,31.75
66,34.69,13.86,17.31,34.15
67,33.13,12.09,18.08,36.71
68,30.76,11.51,19.09,38.64
69,27.43,10.67,19.96,41.95
70,25.44,9.04,20.89,44.62
71,22.92,9.26,21.58,46.25
