Index,Cu,Pd,Pt,Ru
1,11.37,17.8,6.98,63.84
2,10.46,15.65,7.06,66.83
3,9.19,14.21,7.32,69.27
4,8.65,12.75,7.0,71.6
5,7.6,12.23,6.66,73.5
6,7.39,10.4,7.15,75.06
7,6.31,9.54,6.9,77.25
8,5.44,8.59,7.21,78.76
9,5.49,7.02,6.98,80.5
10,4.42,6.8,7.24,81.54
11,4.25,6.57,6.97,82.21
12,12.02,20.12,8.18,59.68
13,10.77,19.24,7.75,62.24
14,9.01,17.69,7.44,65.86
15,9.27,15.53,7.86,67.34
16,8.24,14.1,7.92,69.74
17,7.49,12.5,7.94,72.07
18,6.92,11.65,7.66,73.77
19,5.77,9.87,8.04,76.32
20,5.1,9.29,8.13,77.49
21,4.72,8.49,8.13,78.66
22,4.37,6.57,8.0,81.06
23,4.38,7.28,7.58,80.75
24,3.23,5.77,7.98,83.02
25,13.02,25.51,7.76,53.7
26,10.81,23.88,8.14,57.17
27,9.94,20.93,8.53,60.61
28,9.11,18.42,8.61,63.86
29,8.02,17.77,8.71,65.5
30,7.4,14.91,8.5,69.19
31,6.75,13.69,8.76,70.8
32,6.63,12.5,9.01,71.86
33,5.29,11.52,8.85,74.33
34,5.63,9.93,9.16,75.28
35,5.06,9.11,9.07,76.75
36,4.27,7.29,9.18,79.26
37,3.58,7.56,8.88,79.99
38,3.33,6.15,8.89,81.63
39,2.91,5.82,8.63,82.63
40,12.84,30.74,8.15,48.27
41,11.3,28.07,9.05,51.58
42,10.31,25.17,8.96,55.56
43,9.22,22.14,9.22,59.42
44,8.77,20.21,9.44,61.58
45,7.55,18.98,9.82,63.65
46,6.76,16.07,10.02,67.15
47,6.73,15.15,9.81,68.31
48,5.97,13.44,9.93,70.66
49,5.49,12.21,9.75,72.54
50,4.52,10.75,10.12,74.61
51,4.33,10.0,10.11,75.56
52,3.86,8.64,10.34,77.16
53,3.78,8.09,9.71,78.43
54,2.39,6.56,10.09,80.96
55,2.69,6.26,10.12,80.93
56,2.99,5.69,9.81,81.51
57,12.84,35.51,8.73,42.93
58,11.58,32.76,9.34,46.32
59,10.02,29.97,10.1,49.92
60,10.43,27.0,9.71,52.86
61,8.38,25.02,9.93,56.67
62,7.96,22.33,10.33,59.38
63,7.85,20.09,10.63,61.43
64,7.08,18.68,10.82,63.42
65,6.2,15.58,10.75,67.46
66,5.34,14.13,11.07,69.45
67,5.01,13.85,11.06,70.08
68,5.17,10.95,11.42,72.47
69,4.27,10.81,11.1,73.82
70,3.59,9.16,11.25,75.99
71,3.42,8.32,11.2,77.07
72,2.9,8.3,10.96,77.84
73,2.26,7.27,11.22,79.25
74,2.48,6.16,10.72,80.64
75,2.11,5.28,10.84,81.77
76,11.4,36.48,9.8,42.32
77,10.48,34.81,10.48,44.24
78,8.97,32.25,10.44,48.34
79,8.94,29.05,10.89,51.12
80,8.14,25.99,10.9,54.98
81,6.85,24.44,11.35,57.36
82,6.75,20.82,11.98,60.46
83,5.81,19.53,11.76,62.91
84,6.06,17.86,11.66,64.42
85,5.38,15.69,12.03,66.9
86,4.53,14.85,11.94,68.68
87,4.66,12.6,11.91,70.83
88,4.22,11.67,12.41,71.7
89,3.34,10.59,12.49,73.58
90,3.62,8.81,12.14,75.44
91,2.82,8.09,12.11,76.98
92,2.4,7.25,12.16,78.19
93,1.69,6.44,12.34,79.53
94,2.0,5.4,11.95,80.64
95,11.4,42.49,9.64,36.48
96,11.82,39.7,9.88,38.6
97,9.76,35.95,11.18,43.12
98,8.23,33.96,11.55,46.26
99,8.66,31.48,11.54,48.32
100,7.5,27.85,12.07,52.59
101,7.28,25.59,11.98,55.15
102,6.5,22.46,12.39,58.65
103,5.52,21.51,12.99,59.97
104,5.72,17.91,13.37,63.01
105,5.05,16.43,12.88,65.64
106,4.26,14.52,13.59,67.63
107,4.56,13.23,13.16,69.04
108,3.26,12.79,13.45,70.5
109,3.39,10.47,13.42,72.72
110,2.96,8.94,13.97,74.14
111,2.79,8.65,13.27,75.29
112,2.3,7.37,13.29,77.04
