Index,N,Pd,Pt,Ru
1,4.51,35.34,18.81,45.84
2,6.33,32.21,18.85,48.94
3,0.0,28.5,19.3,52.2
4,0.0,25.33,19.77,54.9
5,6.89,22.85,20.51,56.63
6,6.6,20.38,20.38,59.25
7,6.09,18.32,20.24,61.43
8,9.25,16.93,21.21,61.86
9,9.91,14.59,21.32,64.09
10,8.72,13.6,21.12,65.28
11,7.39,12.43,20.81,66.75
12,7.68,38.76,18.97,42.27
13,6.25,36.04,19.45,44.52
14,7.94,32.95,19.56,47.49
15,6.19,29.82,20.58,49.6
16,6.06,27.39,20.45,52.16
17,6.61,24.84,20.85,54.31
18,7.14,21.76,21.29,56.95
19,7.0,19.86,21.7,58.45
20,5.73,17.47,22.15,60.39
21,6.32,16.38,22.27,61.35
22,0.0,14.69,22.82,62.49
23,7.55,12.39,22.53,65.09
24,7.84,11.19,22.44,66.38
25,6.84,44.74,18.52,36.74
26,6.14,42.1,18.85,39.05
27,5.97,38.76,19.59,41.66
28,7.64,34.43,20.77,44.81
29,6.72,30.96,21.4,47.65
30,7.25,29.03,21.17,49.8
31,5.36,26.56,22.86,50.58
32,7.05,23.36,22.66,53.98
33,5.83,20.77,23.11,56.12
34,9.3,19.6,23.74,56.66
35,8.66,17.03,24.39,58.58
36,6.58,15.51,24.52,59.98
37,0.0,13.65,25.07,61.28
38,8.14,11.88,24.57,63.55
39,9.64,10.39,24.84,64.78
40,5.59,50.51,18.39,31.09
41,5.19,47.75,18.8,33.45
42,6.41,44.95,19.97,35.08
43,0.0,40.21,21.26,38.53
44,0.0,37.15,21.39,41.47
45,5.63,34.0,22.6,43.41
46,6.58,30.64,22.55,46.81
47,0.0,28.98,23.15,47.86
48,6.73,24.81,23.99,51.2
49,0.0,22.58,24.99,52.43
50,6.48,21.31,25.12,53.56
51,8.02,18.2,25.55,56.25
52,0.0,15.77,26.25,57.98
53,0.0,13.03,26.46,60.5
54,7.04,12.62,26.58,60.8
55,8.48,11.25,27.07,61.68
56,8.66,10.1,26.99,62.91
57,5.91,55.85,18.58,25.57
58,0.0,52.54,19.05,28.41
59,8.21,49.27,20.02,30.71
60,6.06,45.81,21.42,32.77
61,9.81,43.0,20.97,36.03
62,6.96,39.83,22.14,38.03
63,6.87,35.97,23.45,40.58
64,0.0,32.61,23.9,43.48
65,6.55,30.14,24.69,45.18
66,6.38,27.58,25.53,46.89
67,6.43,24.5,25.9,49.6
68,7.19,22.22,26.55,51.23
69,5.8,20.2,27.49,52.3
70,0.0,17.2,27.7,55.11
71,7.24,14.74,28.49,56.77
72,7.38,13.39,28.35,58.26
73,9.18,12.55,28.71,58.75
74,6.01,10.33,28.75,60.92
75,7.05,9.13,28.74,62.13
76,5.77,58.31,18.05,23.64
77,0.0,54.61,19.61,25.78
78,6.65,51.85,20.46,27.7
79,0.0,49.6,21.0,29.4
80,5.53,44.93,22.05,33.02
81,5.31,40.82,22.92,36.27
82,7.55,37.38,24.15,38.47
83,8.79,34.64,24.94,40.42
84,8.06,31.89,25.85,42.25
85,5.37,28.96,26.0,45.05
86,7.91,25.66,27.57,46.77
87,7.69,23.22,27.89,48.89
88,7.96,21.41,28.32,50.27
89,7.14,18.11,29.31,52.58
90,0.0,16.43,29.46,54.12
91,5.62,13.47,30.51,56.02
92,10.68,12.51,30.3,57.19
93,0.0,11.27,30.77,57.96
94,7.5,8.93,31.03,60.03
95,0.0,63.87,17.67,18.46
96,7.18,59.73,18.6,21.67
97,9.01,57.41,19.43,23.16
98,6.79,52.86,20.31,26.83
99,5.8,49.44,22.51,28.05
100,0.0,46.65,22.91,30.44
101,5.91,42.89,23.5,33.61
102,7.94,39.53,24.87,35.61
103,5.75,37.08,24.89,38.04
104,7.41,33.93,26.57,39.5
105,6.44,29.49,27.74,42.77
106,7.07,27.24,28.63,44.12
107,9.32,23.7,29.49,46.81
108,6.84,21.26,30.85,47.89
109,5.37,19.56,30.6,49.84
110,8.05,16.55,31.75,51.71
111,8.61,15.38,32.01,52.6
112,0.0,13.46,31.8,54.74
113,7.66,11.93,31.76,56.31
114,8.84,10.06,32.64,57.3
115,7.43,9.99,32.16,57.85
116,5.44,64.31,17.24,18.45
117,7.22,61.12,18.99,19.88
118,7.41,58.56,19.99,21.45
119,5.37,54.08,21.56,24.36
120,5.43,51.19,22.99,25.83
121,0.0,48.4,23.23,28.37
122,5.84,44.8,25.15,30.06
123,7.25,40.63,26.06,33.32
124,6.51,37.6,26.69,35.7
125,8.26,34.65,27.54,37.81
126,6.09,31.13,28.89,39.98
127,0.0,28.57,29.13,42.3
128,7.47,23.84,30.8,45.37
129,8.33,23.14,31.05,45.82
130,0.0,19.67,32.43,47.9
131,5.85,17.31,33.36,49.32
132,0.0,15.84,33.52,50.64
133,7.33,14.37,33.61,52.01
134,6.64,12.06,34.99,52.94
135,7.17,10.87,34.04,55.09
136,7.69,9.17,34.82,56.01
137,5.19,65.27,18.09,16.64
138,7.22,62.78,19.19,18.03
139,0.0,58.37,20.64,20.99
140,7.52,55.27,22.16,22.57
141,7.66,52.65,22.92,24.43
142,8.84,49.21,24.13,26.66
143,0.0,46.15,25.42,28.43
144,9.15,43.08,26.62,30.29
145,0.0,39.46,27.74,32.79
146,0.0,36.84,28.5,34.65
147,6.66,32.93,29.71,37.35
148,6.45,29.68,31.52,38.8
149,6.92,27.01,31.6,41.39
150,6.48,24.43,32.5,43.06
151,6.98,21.88,33.07,45.05
152,7.99,19.28,34.25,46.47
153,8.35,15.91,35.56,48.54
154,8.7,14.49,36.03,49.48
155,6.05,13.22,35.86,50.92
156,0.0,11.74,36.76,51.5
157,8.33,9.83,37.27,52.9
158,6.84,66.27,19.09,14.64
159,6.24,64.27,19.71,16.02
160,7.16,60.64,21.29,18.07
161,0.0,57.63,22.23,20.15
162,6.85,53.96,24.02,22.02
163,9.85,50.79,25.37,23.84
164,8.23,47.35,26.21,26.45
165,7.09,44.55,27.23,28.21
166,11.35,40.94,28.51,30.55
167,5.74,38.22,29.64,32.14
168,5.96,34.23,30.66,35.11
169,6.1,32.03,31.31,36.66
170,7.18,28.37,32.89,38.74
171,6.27,25.48,34.29,40.23
172,0.0,22.62,35.31,42.07
173,0.0,19.77,36.4,43.83
174,5.68,17.69,37.18,45.14
175,9.35,14.57,37.95,47.48
176,7.91,13.69,38.24,48.07
177,6.83,11.2,39.11,49.69
178,0.0,10.51,38.58,50.91
179,6.47,67.86,18.35,13.78
180,0.0,64.64,19.76,15.6
181,0.0,62.3,21.14,16.56
182,0.0,57.62,23.05,19.33
183,0.0,54.96,24.86,20.18
184,8.06,52.35,25.71,21.95
185,7.73,49.65,26.55,23.8
186,0.0,45.49,28.7,25.81
187,7.32,41.54,29.39,29.08
188,0.0,38.75,30.11,31.14
189,8.95,36.01,32.25,31.73
190,0.0,33.48,33.44,33.09
191,6.14,30.04,33.84,36.13
192,7.72,26.59,35.48,37.93
193,7.31,24.75,36.51,38.75
194,6.85,20.86,37.75,41.39
195,8.98,18.54,38.6,42.85
196,6.69,16.67,39.41,43.91
197,6.67,14.04,40.23,45.73
198,6.96,12.25,40.79,46.96
199,6.47,10.51,41.74,47.75
200,9.08,69.06,19.06,11.89
201,6.57,66.14,20.65,13.2
202,5.56,62.51,22.39,15.1
203,5.66,59.55,23.83,16.62
204,0.0,56.44,25.32,18.24
205,0.0,52.84,26.72,20.44
206,0.0,50.44,27.82,21.74
207,10.53,46.47,29.52,24.01
208,0.0,44.07,30.32,25.61
209,6.51,40.49,31.62,27.89
210,6.68,36.71,33.28,30.01
211,5.92,34.63,34.15,31.22
212,8.69,30.92,35.66,33.42
213,6.55,27.37,37.6,35.02
214,8.49,25.27,37.64,37.09
215,6.04,21.39,39.47,39.14
216,0.0,19.52,40.5,39.98
217,0.0,17.08,41.17,41.75
218,0.0,14.24,42.21,43.56
219,7.12,13.03,42.84,44.12
220,10.0,11.42,44.11,44.47
221,7.27,70.03,19.07,10.9
222,0.0,66.5,21.27,12.23
223,5.97,63.55,22.68,13.77
224,7.81,60.39,23.97,15.64
225,0.0,57.52,25.45,17.03
226,7.03,54.57,26.89,18.53
227,6.18,51.9,28.55,19.55
228,6.69,48.31,29.82,21.87
229,0.0,45.87,31.42,22.72
230,7.41,42.13,32.33,25.54
231,7.29,38.48,33.95,27.57
232,8.35,36.16,35.38,28.45
233,0.0,32.51,36.73,30.76
234,7.39,28.14,39.3,32.56
235,9.1,25.38,39.42,35.21
236,0.0,22.62,41.47,35.9
237,5.94,20.38,42.81,36.81
238,8.59,16.67,43.88,39.44
239,7.56,15.12,44.94,39.95
240,7.25,13.7,45.16,41.14
241,8.21,11.64,46.13,42.23
242,0.0,67.71,21.14,11.15
243,0.0,64.56,22.82,12.62
244,8.09,62.02,24.35,13.62
245,9.11,58.74,26.38,14.88
246,8.23,56.03,27.6,16.38
247,0.0,52.19,29.73,18.08
248,6.95,49.87,30.47,19.65
249,0.0,46.52,32.11,21.37
250,6.92,42.85,33.51,23.64
251,0.0,40.06,35.3,24.64
252,0.0,37.19,37.15,25.67
253,6.18,33.36,38.44,28.2
254,0.0,30.34,39.66,30.0
255,6.87,25.93,41.8,32.27
256,6.58,23.55,43.5,32.95
257,0.0,20.31,45.49,34.21
258,11.05,17.56,46.05,36.39
259,8.26,15.54,47.15,37.31
260,8.71,13.78,48.21,38.01
261,5.82,67.78,21.11,11.11
262,8.22,65.19,22.92,11.89
263,7.27,62.37,24.74,12.89
264,8.6,59.11,26.67,14.22
265,7.31,56.54,28.56,14.9
266,7.49,53.52,29.84,16.64
267,8.32,50.63,31.44,17.94
268,7.94,47.67,33.36,18.97
269,9.68,44.16,34.76,21.08
270,9.89,40.98,36.38,22.64
271,8.84,37.39,38.12,24.49
272,6.77,34.02,39.89,26.09
273,6.5,31.36,42.24,26.4
274,7.05,27.19,44.17,28.64
275,8.23,23.78,45.77,30.45
276,7.43,20.49,47.68,31.83
277,8.77,18.65,48.59,32.76
278,8.49,16.32,49.78,33.89
279,5.64,14.55,50.44,35.0
280,5.74,66.34,23.41,10.25
281,8.66,62.76,25.51,11.73
282,0.0,59.86,27.95,12.19
283,8.46,58.33,28.92,12.75
284,0.0,54.15,31.11,14.74
285,6.9,51.5,32.5,16.0
286,7.33,47.36,34.19,18.45
287,0.0,45.06,36.05,18.9
288,7.92,41.83,37.79,20.38
289,6.07,38.6,40.26,21.14
290,6.03,34.93,41.66,23.41
291,8.64,30.97,43.83,25.2
292,7.97,27.6,45.87,26.52
293,6.82,25.04,47.71,27.24
294,6.62,22.37,49.55,28.08
