Index,Ni,Pd,Pt,Ru
1,33.76,6.47,48.52,11.25
2,31.52,5.97,50.97,11.54
3,29.75,5.31,52.22,12.72
4,26.04,5.56,54.51,13.89
5,26.03,4.24,55.24,14.49
6,22.53,4.65,57.14,15.68
7,20.5,3.91,59.24,16.35
8,19.79,4.04,59.36,16.81
9,17.94,3.4,61.2,17.47
10,16.22,3.48,61.99,18.31
11,15.17,2.3,63.45,19.08
12,34.11,6.99,49.04,9.86
13,32.18,5.69,51.61,10.52
14,29.2,5.44,53.66,11.7
15,27.9,4.73,55.44,11.94
16,25.43,5.33,56.75,12.49
17,24.21,5.04,57.61,13.14
18,21.82,4.49,59.36,14.33
19,19.62,3.48,61.6,15.3
20,18.36,3.22,63.07,15.35
21,16.65,3.24,63.46,16.65
22,14.88,3.47,64.02,17.64
23,14.89,2.87,65.21,17.02
24,13.47,2.33,66.17,18.03
25,33.42,7.86,50.33,8.39
26,31.27,6.81,52.71,9.21
27,28.79,6.81,55.08,9.32
28,26.08,5.99,56.83,11.1
29,24.63,5.77,58.07,11.53
30,23.65,5.21,59.58,11.56
31,21.22,4.88,60.96,12.95
32,19.6,3.86,63.47,13.07
33,18.03,3.69,65.04,13.25
34,16.57,2.88,66.17,14.38
35,14.22,3.11,67.61,15.07
36,13.15,3.19,68.28,15.38
37,12.85,2.51,69.38,15.26
38,11.78,2.73,69.43,16.07
39,10.91,3.06,69.47,16.56
40,33.38,8.66,50.98,6.98
41,31.38,7.85,52.8,7.97
42,27.47,8.01,55.39,9.12
43,26.75,6.77,57.67,8.8
44,23.9,6.35,59.2,10.55
45,22.46,6.5,60.59,10.44
46,20.87,5.41,63.09,10.63
47,19.72,5.03,64.5,10.75
48,17.2,4.82,65.24,12.74
49,16.95,4.12,66.95,11.97
50,15.51,4.55,67.74,12.21
51,13.91,3.36,69.56,13.17
52,13.42,2.86,70.57,13.15
53,11.16,3.26,71.16,14.42
54,10.59,2.81,71.49,15.11
55,9.63,2.31,72.74,15.32
56,9.04,2.38,73.17,15.41
57,33.15,9.61,50.7,6.55
58,29.38,9.5,54.12,7.0
59,27.93,8.78,56.1,7.2
60,26.5,7.13,57.57,8.8
61,24.2,6.77,60.16,8.88
62,21.73,6.75,62.45,9.07
63,21.14,5.6,64.09,9.17
64,19.18,5.43,65.11,10.29
65,17.36,5.37,66.87,10.4
66,16.37,5.02,68.09,10.51
67,14.97,4.59,69.39,11.05
68,14.15,3.18,70.69,11.98
69,13.19,3.3,71.39,12.12
70,11.62,2.78,73.55,12.06
71,10.36,2.83,73.87,12.93
72,10.22,2.74,74.0,13.05
73,8.99,2.23,75.24,13.54
74,8.87,2.13,74.8,14.2
75,8.22,1.29,75.81,14.68
76,29.55,10.67,53.76,6.02
77,27.83,9.07,56.65,6.46
78,25.85,8.81,58.17,7.17
79,23.62,8.44,60.74,7.2
80,21.89,7.43,63.14,7.54
81,20.37,6.44,64.27,8.93
82,19.68,5.06,66.35,8.9
83,17.03,5.16,68.32,9.48
84,16.07,4.94,69.57,9.43
85,15.59,4.26,70.44,9.71
86,13.48,3.63,72.52,10.37
87,12.9,2.89,73.6,10.61
88,11.86,3.67,74.15,10.32
89,10.54,2.68,75.39,11.4
90,10.04,2.86,75.18,11.92
91,9.45,2.45,76.2,11.9
92,8.28,1.81,77.59,12.33
93,8.15,1.73,76.69,13.43
94,7.15,1.31,78.2,13.34
95,29.23,11.61,53.57,5.59
96,27.6,10.01,56.61,5.78
97,25.7,9.24,58.17,6.88
98,23.99,8.76,61.34,5.91
99,21.99,7.93,62.9,7.19
100,20.24,7.28,64.41,8.08
101,18.48,6.56,67.38,7.58
102,17.3,6.23,68.39,8.08
103,16.49,5.85,69.55,8.12
104,15.1,4.66,71.33,8.91
105,14.71,4.37,72.1,8.82
106,12.39,4.47,74.03,9.11
107,11.6,3.78,74.66,9.97
108,10.6,4.13,75.32,9.95
109,10.71,2.85,76.45,9.99
110,9.08,2.43,78.28,10.21
111,8.55,2.23,78.43,10.79
112,7.6,2.03,79.48,10.9
113,6.74,1.71,80.2,11.35
114,6.67,1.86,79.75,11.73
115,6.71,1.81,79.97,11.52
116,26.85,11.79,55.68,5.68
117,25.18,10.9,58.6,5.33
118,24.22,9.55,60.98,5.25
119,21.56,9.28,63.61,5.55
120,19.67,7.58,66.12,6.62
121,18.13,7.04,67.98,6.85
122,16.96,6.69,69.2,7.15
