Index,Ni,Pd,Pt,Ru
1,32.45,52.21,7.96,7.37
2,32.77,50.14,8.96,8.12
3,31.55,48.21,9.82,10.42
4,32.59,46.65,10.86,9.9
5,29.34,46.06,10.73,13.88
6,29.41,44.29,12.46,13.84
7,30.18,40.36,13.82,15.64
8,27.24,40.08,15.56,17.12
9,25.6,38.8,16.4,19.2
10,25.57,36.53,17.35,20.55
11,25.0,34.31,18.14,22.55
12,30.05,56.48,7.51,5.96
13,29.7,54.57,8.12,7.61
14,29.72,54.01,8.53,7.75
15,28.84,52.29,9.97,8.89
16,28.73,50.0,10.77,10.5
17,27.3,49.14,11.78,11.78
18,28.79,45.51,12.38,13.31
19,26.95,44.16,14.29,14.61
20,26.13,42.16,15.68,16.03
21,25.0,40.07,17.28,17.65
22,24.32,37.84,18.92,18.92
23,22.18,35.98,20.08,21.76
24,22.02,34.4,21.1,22.48
25,28.19,60.18,6.49,5.15
26,28.06,58.8,7.57,5.57
27,27.11,57.78,8.0,7.11
28,26.61,56.42,9.17,7.8
29,26.56,55.2,10.16,8.08
30,26.65,53.07,11.08,9.2
31,25.89,50.68,12.81,10.63
32,23.33,50.51,14.1,12.05
33,24.65,46.46,15.58,13.31
34,23.08,45.85,15.69,15.38
35,23.15,42.95,17.79,16.11
36,23.16,40.07,19.12,17.65
37,21.26,37.8,20.47,20.47
38,19.91,36.73,22.57,20.8
39,18.18,33.49,24.4,23.92
40,25.44,64.47,6.21,3.88
41,25.37,62.78,6.85,5.0
42,25.52,61.9,7.62,4.95
43,24.61,60.83,8.27,6.3
44,23.57,60.25,9.22,6.97
45,23.92,57.97,10.13,7.97
46,23.18,56.65,11.37,8.8
47,23.77,53.59,13.0,9.64
48,23.69,50.87,14.21,11.22
49,22.48,49.35,15.76,12.4
50,22.56,47.63,16.99,12.81
51,21.8,45.06,18.6,14.53
52,19.68,44.13,20.0,16.19
53,18.31,40.14,22.18,19.37
54,17.67,37.35,24.5,20.48
55,18.72,34.47,25.11,21.7
56,16.59,33.65,26.07,23.7
57,23.72,67.06,5.63,3.58
58,23.51,66.14,6.32,4.04
59,23.73,65.27,6.63,4.36
60,24.16,63.68,7.6,4.56
61,22.57,63.67,8.26,5.5
62,22.2,61.89,9.79,6.12
63,22.65,60.84,10.56,5.95
64,21.48,58.75,11.79,7.98
65,20.08,56.63,13.45,9.84
66,20.63,54.71,14.13,10.54
67,20.67,52.49,15.91,10.93
68,19.9,49.49,17.6,13.01
69,20.18,45.61,19.59,14.62
70,18.55,44.97,21.07,15.41
71,18.79,41.84,23.4,15.96
72,18.15,38.89,24.81,18.15
73,18.11,35.83,25.2,20.87
74,16.0,32.89,27.56,23.56
75,16.2,30.09,29.63,24.07
76,20.22,71.41,5.53,2.84
77,20.47,69.22,6.25,4.06
78,20.67,67.93,6.84,4.56
79,20.5,66.98,7.67,4.85
80,20.26,64.99,9.08,5.67
81,20.4,64.76,9.44,5.4
82,19.87,61.95,10.77,7.41
83,20.22,60.3,11.99,7.49
84,18.94,59.66,13.26,8.14
85,19.25,55.9,14.49,10.35
86,17.78,55.33,16.22,10.67
87,18.31,51.88,18.31,11.5
88,18.16,49.25,19.15,13.43
89,16.57,46.69,21.82,14.92
90,16.29,43.13,24.6,15.97
91,16.9,40.34,25.52,17.24
92,15.71,36.78,27.59,19.92
93,15.19,35.02,29.54,20.25
94,13.24,32.35,30.88,23.53
95,18.47,73.28,5.5,2.75
96,18.41,72.8,5.81,2.97
97,18.9,71.37,6.63,3.1
98,18.01,70.72,7.17,4.1
99,19.12,69.12,7.51,4.25
100,17.99,68.37,8.7,4.95
101,18.2,66.62,9.92,5.26
102,17.7,65.55,10.69,6.06
103,17.38,63.58,11.92,7.12
104,18.26,60.46,13.48,7.8
105,17.39,59.36,14.56,8.7
106,16.63,57.7,16.63,9.03
107,16.28,54.76,18.18,10.78
108,15.4,51.52,20.71,12.37
109,16.58,48.13,21.66,13.64
110,15.32,45.96,23.4,15.32
111,14.52,41.94,26.45,17.1
112,13.86,40.07,29.21,16.85
113,13.82,35.77,30.08,20.33
114,12.96,32.41,33.33,21.3
115,13.2,29.95,34.01,22.84
116,17.38,74.62,5.24,2.76
117,16.71,75.68,5.71,1.9
118,17.45,72.97,6.43,3.15
119,17.33,72.27,7.2,3.2
120,16.69,71.55,8.21,3.56
121,16.71,69.87,8.82,4.61
122,16.69,68.47,9.56,5.28
123,16.47,67.07,11.03,5.44
124,15.85,65.45,12.2,6.5
125,16.32,62.92,13.95,6.81
126,15.26,61.4,15.09,8.25
127,14.54,59.72,16.7,9.04
128,15.34,56.7,18.25,9.71
129,15.26,53.53,20.27,10.93
130,13.48,51.72,22.06,12.75
131,14.25,47.95,24.38,13.42
132,13.04,44.41,27.64,14.91
133,12.54,41.58,29.75,16.13
134,14.02,37.12,30.68,18.18
135,12.45,33.61,34.02,19.92
136,11.87,30.59,36.07,21.46
137,15.92,76.56,5.35,2.17
138,15.29,76.19,5.76,2.76
139,16.15,74.87,6.38,2.6
140,15.77,73.46,7.56,3.21
141,16.06,72.19,8.09,3.66
142,15.11,71.06,9.22,4.61
143,14.95,70.89,10.01,4.14
144,14.77,68.43,11.52,5.28
145,14.84,66.62,12.76,5.79
146,14.37,65.2,13.62,6.81
147,13.61,63.44,15.31,7.65
148,13.44,60.59,17.68,8.29
149,14.17,58.25,18.45,9.13
