Index,Ni,Pd,Pt,Ru
1,80.83,5.95,4.53,8.69
2,79.14,6.17,5.01,9.68
3,77.48,6.01,5.47,11.03
4,75.53,6.06,6.06,12.36
5,73.8,5.83,6.58,13.79
6,72.18,5.54,7.08,15.19
7,69.5,5.84,7.64,17.01
8,67.3,4.94,8.29,19.47
9,64.39,5.55,9.25,20.81
10,61.45,4.9,10.34,23.31
11,58.24,5.4,10.99,25.37
12,80.99,6.97,4.76,7.28
13,79.64,6.91,5.09,8.36
14,77.88,6.84,5.63,9.65
15,76.06,6.73,6.29,10.92
16,74.14,6.54,6.71,12.61
17,72.81,6.42,7.19,13.58
18,71.05,6.1,7.82,15.04
19,68.35,6.22,8.74,16.69
20,65.4,6.1,9.62,18.88
21,63.0,6.07,10.34,20.58
22,59.89,5.87,11.1,23.14
23,57.03,5.38,11.98,25.62
24,53.22,5.46,12.89,28.42
25,80.49,8.21,4.7,6.6
26,79.48,7.86,5.24,7.43
27,77.6,7.78,5.74,8.89
28,76.94,7.32,6.31,9.44
29,75.3,7.42,6.82,10.46
30,72.73,7.5,7.5,12.28
31,71.45,6.98,8.18,13.39
32,69.01,7.17,8.91,14.91
33,67.18,6.53,9.68,16.62
34,64.3,6.42,10.7,18.58
35,61.59,6.04,11.48,20.9
36,58.24,6.61,12.54,22.61
37,55.38,6.12,13.29,25.21
38,51.72,5.61,14.82,27.85
39,48.89,5.79,15.52,29.8
40,80.28,9.01,4.89,5.81
41,79.3,8.98,5.28,6.44
42,78.08,8.73,5.98,7.21
43,76.3,8.48,6.41,8.81
44,74.7,8.3,7.09,9.92
45,73.18,8.38,7.6,10.84
46,71.12,8.32,8.3,12.27
47,69.76,7.8,9.23,13.21
48,67.35,7.83,9.87,14.96
49,65.44,7.64,10.71,16.21
50,62.59,7.73,11.76,17.93
51,59.64,6.98,12.92,20.46
52,57.02,6.64,14.18,22.16
53,53.2,6.95,15.19,24.66
54,50.39,6.58,16.43,26.59
55,46.57,6.14,17.55,29.75
56,43.57,5.91,18.83,31.69
57,80.06,10.43,4.76,4.74
58,78.55,10.35,5.4,5.7
59,76.89,10.28,6.12,6.71
60,76.67,9.94,6.34,7.04
61,74.69,9.29,7.3,8.72
62,73.15,9.54,7.8,9.52
63,71.25,9.16,8.61,10.98
64,69.46,9.17,9.19,12.17
65,67.59,8.71,10.34,13.36
66,65.38,8.87,11.05,14.7
67,63.61,8.41,11.76,16.22
68,60.75,7.88,12.98,18.39
