Index,Ni,Pd,Pt,Ru
1,46.2,19.49,7.9,26.41
2,43.15,19.43,8.28,29.14
3,41.44,17.9,8.74,31.92
4,38.85,17.64,9.33,34.18
5,36.25,16.54,9.88,37.32
6,34.14,15.75,10.68,39.42
7,31.9,15.07,11.01,42.02
8,29.54,13.84,11.36,45.26
9,26.88,12.2,12.4,48.51
10,24.03,12.89,12.67,50.41
11,21.35,12.07,13.13,53.45
12,46.1,22.5,8.28,23.13
13,43.1,21.92,8.77,26.21
14,42.37,20.74,9.05,27.85
15,39.63,19.97,9.74,30.66
16,37.38,18.84,10.24,33.54
17,34.83,18.2,10.73,36.24
18,33.0,16.59,11.76,38.65
19,30.97,16.05,12.05,40.93
20,28.74,15.04,12.63,43.58
21,25.91,14.27,13.5,46.32
22,23.43,13.52,13.93,49.12
23,22.1,12.71,13.98,51.21
24,18.83,12.14,14.53,54.5
25,45.85,26.02,7.88,20.24
26,43.64,25.4,8.54,22.41
27,41.77,24.36,9.25,24.63
28,40.07,23.2,9.86,26.87
29,38.52,21.24,10.51,29.74
30,35.85,21.14,11.29,31.72
31,33.23,20.18,11.9,34.69
32,31.19,19.19,12.2,37.42
33,29.34,18.04,12.91,39.7
34,27.04,16.61,14.11,42.24
35,24.99,15.21,14.49,45.31
36,22.85,14.24,15.2,47.7
37,20.15,13.44,15.66,50.75
38,18.52,13.48,15.62,52.39
39,15.93,12.13,16.64,55.31
40,45.16,30.03,7.77,17.05
41,44.24,28.62,8.71,18.42
42,41.4,27.63,9.29,21.68
43,40.29,26.63,9.62,23.46
44,37.8,25.33,10.48,26.39
45,36.29,23.98,11.05,28.68
46,34.24,22.44,12.02,31.3
47,32.43,21.54,12.56,33.47
48,30.3,20.53,13.47,35.69
49,28.17,19.42,14.22,38.2
50,26.15,18.31,15.25,40.29
51,23.83,16.99,15.57,43.61
52,21.51,15.98,16.61,45.9
53,18.85,14.79,17.2,49.16
54,17.63,13.25,17.56,51.56
55,15.15,11.94,18.44,54.47
56,14.19,11.51,18.77,55.53
57,43.81,33.47,8.23,14.49
58,42.43,32.55,8.47,16.54
59,41.39,31.11,9.18,18.32
60,39.65,30.23,9.91,20.21
61,37.65,28.62,10.91,22.83
62,36.94,26.82,11.37,24.86
63,34.17,26.08,12.03,27.73
64,32.53,24.16,13.04,30.26
65,30.32,23.95,13.71,32.02
66,29.02,22.29,14.31,34.37
67,26.86,20.66,15.22,37.27
68,24.65,19.67,16.39,39.28
69,23.15,18.06,17.07,41.72
70,20.3,17.09,18.07,44.54
71,18.46,16.0,18.5,47.03
72,16.48,14.29,19.15,50.09
73,14.27,14.09,20.11,51.53
74,13.69,12.29,20.33,53.68
75,11.94,11.27,20.91,55.88
76,41.44,36.55,8.38,13.63
77,40.07,35.15,8.9,15.87
78,38.91,33.95,9.69,17.46
79,37.23,32.23,10.68,19.87
80,35.78,31.52,11.2,21.5
81,34.77,29.7,11.9,23.63
82,31.87,28.8,12.92,26.42
83,31.57,26.87,13.68,27.89
84,29.09,25.0,14.78,31.13
85,26.34,24.32,15.49,33.86
86,25.0,22.84,16.15,36.02
87,22.9,21.49,17.41,38.2
88,21.88,20.19,17.8,40.13
89,19.11,19.14,18.69,43.06
90,16.7,18.33,20.0,44.97
91,16.12,15.84,20.51,47.53
92,14.01,14.36,21.27,50.35
93,12.1,13.75,22.25,51.9
94,11.76,12.49,21.8,53.95
95,40.39,40.88,7.72,11.01
96,39.84,38.39,8.78,12.99
97,37.71,37.96,9.6,14.74
98,36.34,36.74,10.27,16.65
99,35.88,34.44,11.34,18.35
100,33.99,33.87,11.95,20.2
101,32.46,31.73,12.75,23.07
102,30.5,31.02,13.35,25.14
103,28.61,29.33,14.51,27.55
104,27.19,27.86,15.76,29.19
105,25.4,26.86,16.41,31.33
106,23.73,24.9,17.33,34.04
107,21.51,23.48,18.56,36.45
108,20.19,21.94,19.06,38.81
109,18.27,20.86,19.98,40.88
110,16.91,18.28,21.32,43.49
111,15.05,16.74,21.93,46.27
112,13.57,15.26,22.67,48.5
113,11.22,14.75,23.96,50.07
114,10.57,12.91,24.8,51.72
115,9.2,12.02,25.22,53.56
116,37.77,42.84,8.27,11.12
117,36.09,42.13,9.31,12.47
118,35.29,40.36,10.05,14.3
119,34.21,39.2,10.99,15.61
120,32.81,37.32,11.46,18.42
121,31.22,35.99,12.84,19.95
122,29.91,34.27,13.67,22.16
123,28.7,32.66,14.64,24.01
124,27.27,31.71,15.2,25.81
125,25.71,29.67,16.6,28.01
126,24.05,28.51,17.02,30.43
127,22.48,26.57,18.29,32.66
128,20.95,25.06,19.49,34.49
129,18.73,23.71,20.42,37.14
