Index,Ir,Pd,Pt,Ru
1,27.32,3.62,8.12,60.94
2,25.21,3.09,8.2,63.49
3,22.68,3.45,7.98,65.89
4,20.85,2.69,8.1,68.36
5,19.5,2.86,7.84,69.81
6,17.02,2.57,8.08,72.33
7,15.4,1.74,8.01,74.85
8,14.55,1.72,8.15,75.59
9,13.38,2.56,8.33,75.73
10,11.98,1.85,8.21,77.96
11,10.44,2.35,8.09,79.13
12,28.96,5.23,8.42,57.39
13,26.47,4.74,8.59,60.2
14,23.89,4.1,8.98,63.03
15,22.27,2.98,8.81,65.94
16,20.36,3.44,8.64,67.56
17,19.26,3.28,8.79,68.66
18,16.8,2.58,9.02,71.6
19,15.8,2.68,9.12,72.4
20,14.17,2.47,9.21,74.15
21,13.48,1.91,8.79,75.81
22,11.58,1.79,9.25,77.37
23,10.83,1.78,9.23,78.16
24,8.9,2.12,9.53,79.44
25,30.95,5.61,9.3,54.14
26,28.48,5.12,9.77,56.63
27,24.99,4.33,9.76,60.92
28,23.96,4.32,9.67,62.05
29,22.45,4.15,9.73,63.67
30,20.11,3.7,9.49,66.7
31,17.9,3.47,9.93,68.7
32,16.08,2.74,10.27,70.91
33,15.06,2.88,10.35,71.72
34,13.35,2.4,10.6,73.65
35,12.63,2.57,10.41,74.39
36,11.63,2.23,10.24,75.9
37,9.43,2.14,10.27,78.15
38,8.6,1.95,10.4,79.05
39,7.35,2.04,10.34,80.27
40,33.1,5.96,10.3,50.65
41,30.39,6.22,9.69,53.71
42,27.36,5.25,10.79,56.6
43,25.42,5.15,10.5,58.93
44,22.73,4.62,10.57,62.08
45,20.39,4.27,10.93,64.41
46,19.98,4.14,10.34,65.53
47,17.47,4.02,10.98,67.53
48,16.34,3.97,11.03,68.66
49,14.56,3.14,11.29,71.01
50,13.54,3.07,11.36,72.03
51,12.38,2.23,11.43,73.95
52,11.1,2.6,11.12,75.18
53,9.59,1.66,11.5,77.25
54,8.65,2.57,11.39,77.38
55,8.31,1.85,11.56,78.28
56,6.51,2.07,11.25,80.16
57,35.56,6.2,11.29,46.95
58,31.76,6.71,10.82,50.71
59,28.71,5.57,11.71,54.01
60,27.85,5.68,11.22,55.25
61,24.01,4.71,11.89,59.39
62,22.42,4.67,11.98,60.93
63,20.05,4.11,12.16,63.68
64,19.59,3.99,11.84,64.58
65,17.24,3.62,12.41,66.73
66,15.92,4.64,12.24,67.2
67,14.71,3.02,12.54,69.73
68,13.52,3.36,12.51,70.61
69,12.64,2.68,12.39,72.29
70,11.6,2.55,12.25,73.6
71,9.84,2.27,12.48,75.41
72,8.57,2.24,12.77,76.41
73,7.33,1.38,12.65,78.64
74,6.24,1.11,12.83,79.82
75,6.07,1.39,12.57,79.98
76,33.64,7.85,11.98,46.53
77,31.03,6.45,12.82,49.7
78,28.22,6.74,12.81,52.22
79,26.55,6.01,12.74,54.7
80,23.88,5.5,12.89,57.73
81,22.15,5.31,12.76,59.77
82,19.86,5.15,13.23,61.75
83,19.16,4.2,13.34,63.31
84,17.06,4.05,13.2,65.69
85,15.72,3.97,13.33,66.98
86,13.79,4.19,13.53,68.5
87,13.19,3.37,13.35,70.08
88,11.38,2.45,13.74,72.43
89,11.1,2.62,13.81,72.47
90,9.26,2.73,13.95,74.06
91,8.63,2.32,13.81,75.23
92,7.37,2.57,13.54,76.51
93,5.55,2.39,14.0,78.06
94,5.61,1.52,14.0,78.87
95,36.43,8.62,12.14,42.81
96,32.31,8.62,13.7,45.38
97,29.94,7.33,13.48,49.25
98,28.58,7.09,13.42,50.92
99,25.66,5.97,13.92,54.45
100,23.51,5.56,14.06,56.86
101,21.35,5.46,14.16,59.03
102,18.95,5.49,14.43,61.13
103,17.85,4.9,14.52,62.72
104,16.1,4.36,15.05,64.5
105,15.75,4.04,14.33,65.88
106,14.04,3.47,14.94,67.56
107,12.81,3.6,14.76,68.83
108,11.12,2.87,15.05,70.96
109,9.93,2.76,15.12,72.19
110,9.03,2.31,15.24,73.41
111,8.24,2.04,15.09,74.63
112,7.01,2.39,15.11,75.49
113,6.43,2.07,15.27,76.22
114,5.13,1.96,15.11,77.81
115,4.34,1.66,15.43,78.57
116,33.8,9.04,14.19,42.97
117,31.25,9.09,14.58,45.08
118,28.59,8.5,14.96,47.95
119,26.63,8.51,15.22,49.64
120,25.0,6.22,15.51,53.28
121,22.21,6.96,15.59,55.23
122,20.55,6.1,15.93,57.42
123,18.88,5.39,16.12,59.61
124,16.79,5.7,16.22,61.29
125,16.48,4.49,15.61,63.42
126,14.66,4.51,16.2,64.64
127,13.7,4.29,15.97,66.05
128,11.93,3.24,16.5,68.33
129,10.55,3.0,16.58,69.88
130,9.75,2.91,16.7,70.64
131,8.52,2.53,16.41,72.54
132,8.07,2.84,16.29,72.8
133,7.21,3.12,16.21,73.45
134,6.69,1.94,16.42,74.95
135,5.5,2.28,16.39,75.83
136,5.07,1.16,16.68,77.1
137,32.02,10.08,15.89,42.02
138,30.15,9.89,16.15,43.81
139,27.56,9.26,16.31,46.87
140,25.6,7.93,17.33,49.14
141,23.27,7.9,17.47,51.35
142,21.73,7.38,17.19,53.69
143,20.4,6.43,17.05,56.12
144,18.53,6.16,17.28,58.03
145,16.67,6.27,17.0,60.07
146,14.91,4.85,17.42,62.82
147,14.15,5.33,17.69,62.83
148,13.05,3.71,17.57,65.66
149,11.96,3.98,17.51,66.55
150,10.93,3.53,17.61,67.93
151,9.58,3.19,17.98,69.24
152,8.85,3.27,17.7,70.18
153,7.37,2.65,18.42,71.56
154,6.27,2.99,18.45,72.28
155,5.37,2.28,18.38,73.97
156,5.26,1.86,18.41,74.48
157,4.5,2.34,17.93,75.22
158,31.65,11.1,16.81,40.44
159,29.61,10.43,17.94,42.01
160,27.42,9.24,17.99,45.35
161,25.09,8.49,18.55,47.88
162,23.33,7.53,18.55,50.59
163,20.96,7.69,18.51,52.84
164,18.82,6.81,18.99,55.38
165,18.09,6.75,18.63,56.53
166,16.33,5.64,18.98,59.06
167,15.13,5.44,19.17,60.26
168,13.98,5.15,18.85,62.03
169,12.36,4.9,19.04,63.7
170,10.92,4.81,19.16,65.11
171,10.19,3.92,19.53,66.35
172,8.15,3.51,19.78,68.56
173,8.04,3.01,19.5,69.45
174,7.2,2.64,19.93,70.23
175,6.18,2.47,19.81,71.54
176,5.66,3.3,19.72,71.32
177,5.11,1.91,20.33,72.65
178,4.29,2.05,20.13,73.53
179,29.81,11.73,18.61,39.86
180,28.63,10.32,19.19,41.86
181,26.02,10.14,19.76,44.07
182,24.01,9.15,20.09,46.76
183,22.41,8.58,20.31,48.69
184,20.61,7.56,20.39,51.44
185,18.82,7.19,20.61,53.38
186,17.16,6.95,20.59,55.3
187,15.52,6.36,20.98,57.14
188,14.35,6.32,20.55,58.77
189,13.35,4.92,20.7,61.03
190,12.06,4.65,20.91,62.38
191,10.33,5.01,20.97,63.69
192,9.46,4.69,21.15,64.71
193,8.84,3.8,21.2,66.16
194,7.6,2.74,21.68,67.98
195,6.5,3.49,21.28,68.74
196,6.46,2.91,21.42,69.2
197,4.69,2.56,22.15,70.6
198,4.67,2.02,21.91,71.41
199,4.03,1.62,22.12,72.23
200,29.26,13.22,19.11,38.41
201,26.43,11.53,21.11,40.93
202,25.3,10.89,21.15,42.65
203,23.13,9.89,21.9,45.08
204,21.55,8.91,22.47,47.07
205,19.39,8.65,22.28,49.68
206,19.01,7.15,22.47,51.37
207,17.6,6.99,22.3,53.12
208,15.75,6.53,22.17,55.54
209,14.22,5.87,22.54,57.37
210,12.64,5.15,22.64,59.58
211,12.11,5.21,22.47,60.21
212,10.67,4.63,22.79,61.9
