Index,Ir,Pd,Pt,Ru
1,35.96,3.2,47.59,13.25
2,33.8,3.63,49.18,13.38
3,31.03,3.55,50.07,15.35
4,29.58,3.2,52.38,14.85
5,27.21,2.65,53.85,16.29
6,24.49,3.09,54.57,17.85
7,22.29,2.34,56.57,18.8
8,21.4,2.13,57.16,19.3
9,18.98,2.11,58.5,20.4
10,18.45,2.44,58.82,20.29
11,16.7,0.96,61.13,21.22
12,34.39,4.66,49.35,11.6
13,33.95,3.96,49.67,12.43
14,30.57,3.12,52.27,14.05
15,29.13,3.71,52.13,15.03
16,26.44,3.44,54.63,15.49
17,24.16,3.07,56.06,16.71
18,23.09,2.82,57.05,17.04
19,22.01,2.72,58.82,16.45
20,19.5,2.81,58.98,18.71
21,18.65,1.75,60.4,19.2
22,16.1,2.56,61.04,20.3
23,15.4,1.72,62.42,20.46
24,13.2,1.7,63.76,21.33
25,34.46,5.64,49.93,9.97
26,33.22,4.13,51.85,10.81
27,29.74,4.33,53.84,12.09
28,27.76,4.28,54.75,13.21
29,26.43,3.43,56.53,13.61
30,24.21,2.96,59.09,13.74
31,22.92,3.5,58.63,14.96
32,22.15,2.55,60.08,15.23
33,19.56,2.42,62.05,15.97
34,18.95,2.22,62.07,16.77
35,17.42,2.55,62.89,17.15
36,15.02,2.15,64.76,18.07
37,13.51,2.43,65.22,18.84
38,12.04,1.48,66.87,19.61
39,10.83,1.77,66.79,20.62
40,34.34,6.0,51.33,8.33
41,32.24,5.57,52.62,9.57
42,30.6,3.92,55.0,10.48
43,28.12,4.07,57.25,10.56
44,26.48,3.6,57.72,12.2
45,23.97,3.41,59.75,12.87
46,22.6,3.19,60.53,13.68
47,20.52,2.92,62.48,14.08
48,20.13,3.07,62.2,14.6
49,18.08,2.72,64.44,14.76
50,16.24,2.11,65.63,16.02
51,15.99,1.33,65.99,16.69
52,14.31,2.26,67.0,16.43
53,12.64,1.83,68.78,16.75
54,11.82,1.88,68.54,17.75
55,9.74,1.26,69.51,19.5
56,8.05,1.07,71.15,19.73
57,33.77,5.46,52.51,8.27
58,31.4,5.62,54.3,8.68
59,29.86,5.63,54.89,9.62
60,27.2,4.12,58.46,10.22
61,25.32,4.47,59.25,10.96
62,24.07,4.38,60.52,11.03
63,22.68,3.95,61.55,11.81
64,21.79,3.52,62.15,12.55
65,18.8,3.13,64.75,13.32
66,17.92,2.75,65.87,13.46
67,16.46,2.6,66.33,14.61
68,15.43,2.76,67.39,14.41
69,14.65,1.27,69.16,14.92
70,13.16,2.01,68.99,15.84
71,12.43,1.82,69.13,16.62
72,10.64,2.4,70.35,16.62
