Index,Ir,Pd,Pt,Ru
1,25.59,51.93,6.55,15.94
2,25.01,49.32,7.24,18.43
3,24.97,47.51,7.82,19.7
4,24.47,45.52,8.53,21.47
5,23.37,43.3,8.49,24.84
6,22.22,41.0,9.57,27.21
7,21.65,38.5,10.59,29.27
8,21.16,35.54,11.76,31.54
9,20.24,33.81,11.88,34.07
10,18.69,31.4,12.81,37.1
11,17.85,29.46,13.21,39.48
12,23.43,56.95,6.17,13.46
13,23.72,54.45,7.27,14.57
14,22.74,52.91,7.56,16.79
15,22.64,50.5,7.64,19.22
16,21.92,48.58,8.74,20.75
17,20.6,46.28,9.6,23.52
18,20.99,43.59,10.35,25.07
19,19.86,41.01,11.23,27.9
20,18.45,38.96,11.67,30.92
21,18.74,36.85,12.25,32.15
22,17.53,34.97,13.15,34.35
23,16.78,31.77,14.17,37.28
24,16.4,27.98,15.32,40.31
25,22.16,61.49,5.94,10.41
26,21.62,59.73,6.57,12.08
27,20.78,58.66,7.08,13.49
28,20.82,55.4,7.77,16.0
29,20.35,53.44,8.22,17.98
30,19.7,51.99,9.09,19.22
31,19.43,48.61,10.16,21.8
32,19.6,46.04,10.5,23.85
33,18.83,44.05,11.35,25.77
34,18.16,41.12,12.43,28.29
35,17.05,38.82,13.32,30.82
36,15.77,37.13,14.56,32.54
37,16.17,33.16,15.24,35.43
38,15.47,31.54,15.94,37.05
39,13.43,29.18,16.4,40.99
40,19.94,64.96,5.34,9.76
41,19.46,64.65,6.09,9.81
42,19.06,62.67,7.0,11.26
43,19.05,60.76,6.9,13.29
44,18.74,58.44,7.75,15.06
45,18.85,57.32,8.9,14.93
46,18.03,54.12,9.58,18.27
47,17.53,51.64,10.89,19.94
48,18.18,48.61,11.06,22.15
49,17.49,46.62,12.03,23.86
50,15.49,45.06,13.35,26.1
51,17.02,40.56,13.82,28.6
52,16.05,37.61,14.67,31.67
53,15.17,35.83,15.93,33.07
54,13.67,33.22,17.01,36.09
55,13.3,29.79,18.21,38.7
56,11.69,28.8,19.39,40.12
57,17.51,69.89,5.1,7.5
58,17.43,68.2,6.1,8.27
59,18.01,66.66,6.12,9.21
60,16.57,65.78,6.99,10.66
61,17.07,62.68,7.49,12.77
62,16.7,61.23,8.31,13.76
63,17.99,58.39,9.11,14.51
64,17.17,56.63,9.77,16.44
65,15.59,54.33,10.83,19.25
66,16.45,51.21,11.5,20.85
67,15.52,49.22,12.77,22.5
68,15.73,46.2,13.72,24.35
69,15.95,42.32,14.36,27.37
70,14.94,40.74,15.25,29.07
71,13.35,37.82,17.18,31.65
72,14.16,34.53,18.11,33.2
73,12.16,32.05,19.37,36.43
74,10.67,30.0,19.91,39.42
75,9.86,27.36,20.37,42.42
76,15.9,72.34,5.41,6.35
77,16.11,70.6,5.85,7.44
78,16.02,68.63,6.52,8.84
79,15.59,67.45,7.15,9.81
80,15.41,65.45,8.14,11.01
